                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.98718,                0.63718,                 1.3953,                0.94979,                0.99584,                 0.9925,                 0.6544,                 1.2532,                0.74471,                 1.5484,              0.0014575,              0.0014575,              0.0014575
                    140,                0.97516,                0.64114,                 1.4013,                0.89844,                      1,                0.98761,                0.60404,                 1.2692,                0.78459,                 1.3993,              0.0014535,              0.0014535,              0.0014535
                    141,                0.97775,                0.61694,                 1.4215,                0.90865,                0.94737,                0.99024,                0.62735,                  1.287,                0.77456,                 1.4883,              0.0014496,              0.0014496,              0.0014496
                    142,                 1.0183,                 0.6464,                 1.4717,                0.99497,                0.94737,                0.98818,                0.65655,                 1.2868,                0.78419,                 1.6275,              0.0014456,              0.0014456,              0.0014456
                    143,                0.96596,                0.62675,                 1.3542,                0.94975,                0.94737,                0.98818,                0.60549,                 1.2759,                0.82159,                 1.6473,              0.0014416,              0.0014416,              0.0014416
                    144,                0.91153,                0.61311,                  1.358,                0.97814,                0.94737,                0.99024,                0.60676,                 1.2742,                0.79935,                 1.5013,              0.0014377,              0.0014377,              0.0014377
                    145,                0.98175,                0.63094,                  1.385,                      1,                0.99064,                  0.995,                0.65091,                 1.2291,                0.78029,                 1.4467,              0.0014337,              0.0014337,              0.0014337
                    146,                0.97947,                0.61272,                    1.4,                      1,                0.99788,                  0.995,                0.61639,                 1.3084,                0.80052,                 1.4915,              0.0014298,              0.0014298,              0.0014298
                    147,                0.92032,                0.60594,                 1.3805,                      1,                0.99194,                  0.995,                0.63342,                 1.2348,                0.82858,                 1.5129,              0.0014258,              0.0014258,              0.0014258
                    148,                0.98025,                0.63217,                 1.4184,                0.99849,                      1,                  0.995,                0.66155,                 1.1544,                0.76049,                 1.4978,              0.0014218,              0.0014218,              0.0014218
                    149,                0.95651,                0.61181,                 1.3773,                0.98702,                      1,                  0.995,                0.60961,                 1.2195,                0.80953,                 1.5019,              0.0014179,              0.0014179,              0.0014179
                    150,                 0.9344,                0.60672,                 1.4228,                0.99084,                      1,                  0.995,                0.63296,                 1.1854,                0.81281,                 1.4869,              0.0014139,              0.0014139,              0.0014139
